Group,N,Mean_Pre,SD_Pre,Mean_Post,SD_Post,Mean_Diff,SD_Diff
Exp,15,55.4,3.581699516789681,70.33333333333333,4.654746681256314,14.933333333333334,3.411465262624733
Ctrl,15,53.6,3.541589635016618,55.2,4.195235392680606,1.6,1.992844341996778
